,high_price,eth_past_average10
213,False,0.471202381
214,0,
215,0,
216,0,
217,0,
218,0,
219,0,
220,0,
221,0,
222,0,
223,0,
224,0,0.1886666667
225,0,0.15616666669999998
226,0,0.1576666667
227,0,0.1646666667
228,0,0.16666666670000002
229,False,0.1786666667
230,0,
231,0,
232,0,
233,0,
234,0,
235,0,
236,0,
237,0,
238,0,
239,0,
240,0,0.1423384615
241,0,0.1473384615
242,0,0.1263384615
243,0,0.12783846150000003
244,0,0.12033846150000001
245,0,0.12383846150000002
246,0,0.1215384615
247,0,0.11479999999999999
248,0,0.16646666670000002
249,0,0.1728
250,0,0.1777
251,0,0.1730333333
252,0,0.17303333329999998
253,0,0.16703333329999998
254,0,0.17503333329999998
255,0,0.1695333333
256,0,0.2500333333
257,0,0.2512333333
258,0,0.1957666666
259,False,0.1856333333
260,False,
261,0,
262,0,
263,False,
264,0,
265,0,
266,0,
267,0,
268,0,
269,0,
270,0,
271,0,
272,0,
273,0,
274,0,0.076510101
275,0,0.0738434343
276,False,0.07647055290000002
277,0,
278,0,
279,0,
280,0,
281,0,
282,0,
283,False,
284,0,
285,False,
286,False,
287,0,
288,False,
289,0,
290,0,
291,0,
292,0,
293,0,
294,0,
295,0,
296,0,
297,0,
298,0,
299,0,0.1301666667
300,0,0.1346666667
301,0,0.1396666667
302,0,0.1444166667
303,0,0.15941666670000001
304,0,0.1584166667
305,0,0.1684166667
306,0,0.15641666669999998
307,0,0.32675
308,0,0.3404375
309,0,0.34043749999999995
310,0,0.3404375
311,0,0.3419375
312,0,0.33685416669999996
313,0,0.32885416669999995
314,0,0.3213541667
315,0,0.3133541667
316,0,0.3189541667
317,0,0.1656208334
318,0,0.1519333334
319,0,0.1537904763
320,0,0.1552904763
321,0,0.15879047629999998
322,0,0.4691238096
323,0,0.4651238096
324,0,0.4963738096
325,0,0.5003738096
326,0,0.49677380959999995
327,0,0.5161071429
328,False,0.5311071429
329,0,
330,0,
331,0,
332,0,
333,0,
334,0,
335,0,
336,0,
337,0,
338,0,
339,0,0.30583333319999995
340,0,0.2895833332
341,0,0.22637121200000002
342,0,0.23181565640000001
343,0,0.23381565640000002
344,0,0.24014898969999998
345,0,0.227982323
346,0,0.22814898970000003
347,0,0.2276035352
348,0,0.22169444430000002
349,0,0.22919444429999997
350,0,0.2297777776
351,0,0.22544444429999996
352,0,0.2189999999
353,0,0.1819999999
354,0,0.1786666666
355,0,0.1698333333
356,0,0.18633333330000001
357,0,0.1833333333
358,0,0.20773333330000004
359,0,0.24923333330000003
360,0,0.2747
361,0,0.2797
362,0,0.3063666667
363,0,0.3053666667
364,0,0.3237
365,0,0.3266
366,0,0.3203142857
367,0,0.3293142857
368,0,0.32366428569999994
369,0,1.5376642857
370,0,1.5118642857000002
371,0,1.4818642857
372,0,1.4594833333000001
373,0,1.4790833333
374,0,1.4981944444
375,False,1.5013658730000001
376,False,
377,0,
378,0,
379,0,
380,0,
381,0,
382,0,
383,0,
384,0,
385,0,
386,0,
387,0,0.322392316
388,0,0.3366839826
389,0,0.45118398260000003
390,0,0.48104761900000004
391,0,0.473547619
392,0,0.4862142857
393,0,0.4872142857
394,0,0.4840000000000001
395,0,0.47400000000000003
396,0,0.4846666667
397,0,0.5139393940000001
398,0,0.4968560607
399,0,0.3983560607
400,0,0.5333560607000001
401,0,0.5458560607
402,0,0.560189394
403,0,0.574189394
404,0,0.576689394
405,0,0.569189394
406,0,0.5852370130000001
407,0,0.5669642856999999
408,0,0.5692142857
409,0,0.603547619
410,0,0.444047619
411,0,0.4487619047
412,0,0.4147619047
413,0,0.4187619047
414,0,0.4217619047
415,0,0.4232619047
416,0,0.397547619
417,False,0.390547619
418,0,
419,0,
420,0,
421,0,
422,0,
423,0,
424,0,
425,0,
426,0,
427,0,
428,0,0.5271666667
429,0,0.5800000000000001
430,0,0.6020000000000001
431,0,0.6090909091000001
432,0,0.6054242424
433,0,0.5874242424
434,0,0.5824242424
435,0,0.5954242423999999
436,0,0.43942424240000005
437,0,0.47967424239999995
438,0,0.5076742424
439,0,0.4586742424
440,0,0.4454242424
441,0,0.4766666666
442,0,0.48516666659999996
443,0,0.5283333333
444,0,0.5393333333
445,0,0.5351666666
446,0,0.5469999999
447,0,0.6659999999
448,0,0.7869999999
449,0,0.8804999998999999
450,0,0.8892045454000002
451,0,0.9906212121
452,0,1.0189878788000002
453,0,1.0093212121
454,False,0.9983212121000001
455,False,
456,0,
457,0,
458,0,
459,0,
460,0,
461,False,
462,0,
463,0,
464,0,
465,0,
466,0,
467,0,
468,0,
469,0,
470,0,
471,0,
472,0,0.47704166670000003
473,0,0.47304166670000003
474,0,0.4924416667
475,0,0.5274416667
476,0,0.5139416667
477,False,0.48427499999999996
478,0,
479,0,
480,0,
481,0,
482,False,
483,0,
484,0,
485,0,
486,0,
487,0,
488,0,
489,0,
490,0,
491,0,
492,0,
493,0,0.6151708471999999
494,0,0.6429964286000001
495,0,0.6902464286
496,0,0.8672797618999999
497,0,0.8867083333
498,0,0.9048333333
499,0,0.9480000000000001
500,0,0.85375
501,0,0.8557499999999999
502,0,0.8507499999999999
503,0,0.83905
504,False,0.84605
505,0,
506,0,
507,0,
508,0,
509,False,
510,False,
511,False,
512,0,
513,0,
514,0,
515,False,
516,0,
517,0,
518,0,
519,0,
520,0,
521,0,
522,0,
523,0,
524,0,
525,False,
526,0,
527,0,
528,0,
529,False,
530,0,
