,timestamp,eth
250,4/24/18 0:00,0.103333333
251,4/25/18 0:00,0.09
252,4/26/18 0:00,0.08
253,4/28/18 0:00,0.18
254,5/1/18 0:00,0.095
255,5/2/18 0:00,0.91
256,5/5/18 0:00,0.08
257,5/6/18 0:00,0.062
258,5/7/18 0:00,0.082
259,5/8/18 0:00,
260,5/9/18 0:00,
261,5/17/18 0:00,0.1
262,5/19/18 0:00,0.08
263,5/22/18 0:00,
264,5/25/18 0:00,0.1
265,5/26/18 0:00,0.1
266,5/27/18 0:00,0.085
267,5/28/18 0:00,0.067272727
268,5/29/18 0:00,0.055555556
269,5/30/18 0:00,0.055
270,5/31/18 0:00,0.067272727
271,6/1/18 0:00,0.05
272,6/3/18 0:00,0.1
273,6/6/18 0:00,0.085
274,6/7/18 0:00,0.073333333
275,6/8/18 0:00,0.126271186
276,6/10/18 0:00,
277,6/11/18 0:00,0.133333333
278,6/12/18 0:00,0.071428571
279,6/13/18 0:00,0.05
280,6/14/18 0:00,0.075
281,6/15/18 0:00,0.05
282,6/17/18 0:00,0.1
283,6/18/18 0:00,
284,6/22/18 0:00,0.19
285,6/23/18 0:00,
286,6/25/18 0:00,
287,6/28/18 0:00,0.2
288,6/30/18 0:00,
289,7/4/18 0:00,0.055
290,7/10/18 0:00,0.05
291,7/17/18 0:00,0.19
292,7/18/18 0:00,0.1
293,7/20/18 0:00,0.19
294,7/23/18 0:00,0.1
295,7/25/18 0:00,0.22
296,7/26/18 0:00,0.196666667
297,7/27/18 0:00,0.1
298,7/31/18 0:00,0.1
299,8/2/18 0:00,0.1
300,8/3/18 0:00,0.1
301,8/6/18 0:00,0.2375
302,8/7/18 0:00,0.25
303,8/10/18 0:00,0.18
304,8/12/18 0:00,0.2
305,8/13/18 0:00,0.1
306,8/14/18 0:00,1.9
307,8/15/18 0:00,0.236875
308,8/16/18 0:00,0.1
309,8/17/18 0:00,0.1
310,8/18/18 0:00,0.115
311,8/22/18 0:00,0.186666667
312,8/26/18 0:00,0.17
313,8/27/18 0:00,0.105
314,8/28/18 0:00,0.12
315,9/1/18 0:00,0.156
316,9/2/18 0:00,0.366666667
317,9/7/18 0:00,0.1
318,9/11/18 0:00,0.118571429
319,9/14/18 0:00,0.115
320,9/16/18 0:00,0.15
321,9/17/18 0:00,3.29
322,9/20/18 0:00,0.13
323,9/21/18 0:00,0.4175
324,9/22/18 0:00,0.16
325,9/26/18 0:00,0.12
326,9/27/18 0:00,0.56
327,9/29/18 0:00,0.25
328,9/30/18 0:00,
329,10/1/18 0:00,0.3
330,10/2/18 0:00,1.065454545
331,10/3/18 0:00,0.15
332,10/4/18 0:00,0.48
333,10/5/18 0:00,0.11
334,10/6/18 0:00,0.385
335,10/8/18 0:00,0.133333333
336,10/11/18 0:00,0.175454545
337,10/12/18 0:00,0.189090909
338,10/14/18 0:00,0.07
339,10/18/18 0:00,0.1375
340,10/20/18 0:00,0.433333333
341,10/23/18 0:00,0.204444444
342,10/24/18 0:00,0.5
343,10/25/18 0:00,0.173333333
344,10/26/18 0:00,0.263333333
345,10/28/18 0:00,0.135
346,10/29/18 0:00,0.17
347,10/31/18 0:00,0.13
348,11/1/18 0:00,0.145
349,11/3/18 0:00,0.143333333
350,11/6/18 0:00,0.39
351,11/7/18 0:00,0.14
352,11/8/18 0:00,0.13
353,11/12/18 0:00,0.14
354,11/13/18 0:00,0.175
355,11/14/18 0:00,0.3
356,11/17/18 0:00,0.14
357,11/18/18 0:00,0.374
358,11/19/18 0:00,0.56
359,11/20/18 0:00,0.398
360,11/21/18 0:00,0.44
361,11/22/18 0:00,0.406666667
362,11/24/18 0:00,0.12
363,11/25/18 0:00,0.323333333
364,11/26/18 0:00,0.204
365,11/27/18 0:00,0.237142857
366,11/28/18 0:00,0.23
367,11/29/18 0:00,0.3175
368,11/30/18 0:00,12.7
369,12/3/18 0:00,0.14
370,12/4/18 0:00,0.14
371,12/5/18 0:00,0.182857143
372,12/6/18 0:00,0.316
373,12/7/18 0:00,0.514444444
374,12/8/18 0:00,0.235714286
375,12/10/18 0:00,
376,12/11/18 0:00,
377,12/13/18 0:00,0.390416667
378,12/15/18 0:00,0.25
379,12/16/18 0:00,0.296363636
380,12/17/18 0:00,0.25
381,12/18/18 0:00,0.42
382,12/19/18 0:00,0.25
383,12/20/18 0:00,0.327142857
384,12/21/18 0:00,0.5
385,12/22/18 0:00,0.28
386,12/23/18 0:00,0.26
