,eth,eth_past_average10
130,0.3,
131,0.143333333,
132,0.166666667,
133,0.17,
134,0.126666667,
135,0.1,
136,0.09,
137,0.12,0.1445555556
138,0.119047619,0.1466666667
139,0.108823529,0.1425714286
140,0.125,0.14445378150000002
141,0.128571429,0.1269537815
142,0.15,0.1254775911
143,0.32,0.1238109244
144,0.15,0.1388109244
145,0.134,0.1411442577
146,0.125555556,0.14454425769999998
147,0.300909091,0.1480998133
148,0.306,0.1661907224
149,0.149,0.1848859605
150,0.1575,0.1889036076
151,0.145,0.1921536076
152,0.1875,0.1937964647
153,0.143636364,0.1975464647
154,0.1,0.1799101011
155,0.118571429,0.1749101011
156,0.154,0.17336724399999998
157,0.1,0.1762116884
158,0.15,0.15612077929999998
159,1.166666667,0.1405207793
160,0.093333333,0.24228744600000002
161,0.145,0.23587077930000003
162,0.115,0.23587077930000003
163,0.12,0.22862077930000005
164,0.923,0.22625714289999999
165,0.104,0.30855714289999997
166,0.1,0.30710000000000004
167,0.115,0.3017
168,0.06,0.3032
169,0.14,0.2942
170,0.17,0.1915333333
171,2.524,0.19920000000000002
172,0.25375,0.43710000000000004
173,0.1025,0.450975
174,0.135,0.44922500000000004
175,0.332916667,0.370425
176,0.6925,0.39331666670000004
177,0.143636364,0.4525666667
178,0.573333333,0.4554303031
179,0.145,0.5067636364
180,0.148571429,0.5072636364
181,0.154,0.5051207793
182,0.425,0.26812077930000006
183,0.28,0.2852457793
184,0.1,0.30299577930000005
185,0.5,0.29949577930000004
186,0.188333333,0.31620411260000003
187,0.145,0.26578744590000003
188,0.215714286,0.26592380950000005
189,0.08,0.2301619048
190,0.1,0.2236619048
191,0.09,0.21880476190000003
192,0.15,0.21240476190000002
193,0.15,0.18490476190000005
194,0.3,0.17190476190000006
195,0.35,0.19190476190000005
196,0.09,0.17690476190000004
197,0.26,0.16707142860000007
198,0.17,0.17857142860000005
199,0.1,0.17400000000000004
200,1.48,0.17600000000000002
201,0.09,0.31400000000000006
202,0.09,0.31400000000000006
203,0.1,0.308
204,0.09,0.30300000000000005
205,0.1475,0.28200000000000003
206,0.122857143,0.26175000000000004
207,0.15,0.26503571430000006
208,0.11,0.2540357143
209,0.166666667,0.24803571430000004
210,0.15,0.25470238100000003
211,3.49,0.12170238100000001
212,0.185,0.461702381
213,,0.471202381
214,0.55,
215,0.1,
216,0.2,
217,0.09,
218,0.11,
219,0.26,
220,0.09,
221,0.1,
222,0.25,
223,0.136666667,
224,0.225,0.1886666667
225,0.115,0.15616666669999998
226,0.27,0.1576666667
227,0.11,0.1646666667
228,0.23,0.16666666670000002
229,,0.1786666667
230,0.1,
231,0.3,
232,0.125,
233,0.175,
234,0.115,
235,0.128,
236,0.135384615,
237,0.1,
238,0.12,
239,0.125,
240,0.15,0.1423384615
241,0.09,0.1473384615
242,0.14,0.1263384615
243,0.1,0.12783846150000003
244,0.15,0.12033846150000001
245,0.105,0.12383846150000002
246,0.068,0.1215384615
247,0.616666667,0.11479999999999999
248,0.183333333,0.16646666670000002
249,0.174,0.1728
250,0.103333333,0.1777
251,0.09,0.1730333333
252,0.08,0.17303333329999998
253,0.18,0.16703333329999998
254,0.095,0.17503333329999998
255,0.91,0.1695333333
256,0.08,0.2500333333
257,0.062,0.2512333333
258,0.082,0.1957666666
259,,0.1856333333
260,,
261,0.1,
262,0.08,
263,,
264,0.1,
265,0.1,
266,0.085,
267,0.067272727,
268,0.055555556,
269,0.055,
270,0.067272727,
271,0.05,
272,0.1,
273,0.085,
274,0.073333333,0.076510101
275,0.126271186,0.0738434343
276,,0.07647055290000002
277,0.133333333,
278,0.071428571,
279,0.05,
280,0.075,
281,0.05,
282,0.1,
283,,
284,0.19,
285,,
286,,
287,0.2,
288,,
289,0.055,
290,0.05,
291,0.19,
292,0.1,
293,0.19,
294,0.1,
295,0.22,
296,0.196666667,
297,0.1,
298,0.1,
299,0.1,0.1301666667
300,0.1,0.1346666667
301,0.2375,0.1396666667
302,0.25,0.1444166667
303,0.18,0.15941666670000001
304,0.2,0.1584166667
305,0.1,0.1684166667
306,1.9,0.15641666669999998
307,0.236875,0.32675
308,0.1,0.3404375
309,0.1,0.34043749999999995
310,0.115,0.3404375
311,0.186666667,0.3419375
312,0.17,0.33685416669999996
313,0.105,0.32885416669999995
314,0.12,0.3213541667
315,0.156,0.3133541667
316,0.366666667,0.3189541667
317,0.1,0.1656208334
318,0.118571429,0.1519333334
319,0.115,0.1537904763
320,0.15,0.1552904763
321,3.29,0.15879047629999998
322,0.13,0.4691238096
323,0.4175,0.4651238096
324,0.16,0.4963738096
325,0.12,0.5003738096
326,0.56,0.49677380959999995
327,0.25,0.5161071429
328,,0.5311071429
329,0.3,
330,1.065454545,
331,0.15,
